"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1,D2","2","LED","","","","LED_SMD:LED_0603_1608Metric",""
"J1","1","Conn_01x03_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J2","1","bat","","","","Battery:BatteryHolder_Keystone_1060_1x2032",""
"J3,J8","2","jst sh","","","","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",""
"J4","1","swd","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J5,J6","2","io","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J7","1","int","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"L2","1","10uH","","","","Inductor_SMD:L_Coilcraft_XAL6030-XXX",""
"R1,R2","2","2k2","","","","Resistor_SMD:R_0805_2012Metric",""
"U1","1","MDBT42Q-512K","","","","RF_Module:Raytac_MDBT42Q","https://www.raytac.com/download/index.php?index_id=27"
